# _tick,_time,frames,mean_episode_return_landlord,loss_landlord,mean_episode_return_landlord_up,loss_landlord_up,mean_episode_return_landlord_down,loss_landlord_down
0,1753022026.084468,0,-0.8149779438972473,22.358081817626953,0,0,0,0
1,1753022027.311157,3200,-0.8149779438972473,22.358081817626953,0,0,0.8369098901748657,22.207651138305664
2,1753022029.724664,6400,-0.8149779438972473,22.358081817626953,1.0,24.311962127685547,0.8369098901748657,22.207651138305664
3,1753022079.138792,9600,-1.9270541667938232,23.053726196289062,1.0,24.311962127685547,0.8369098901748657,22.207651138305664
4,1753022081.381452,12800,-1.9270541667938232,23.053726196289062,1.0,24.311962127685547,1.9701790809631348,23.433155059814453
5,1753022085.281148,16000,-1.9270541667938232,23.053726196289062,1.9812500476837158,21.312454223632812,1.9701790809631348,23.433155059814453
6,1753022137.722615,19200,-2.337334394454956,14.794495582580566,1.9812500476837158,21.312454223632812,1.9701790809631348,23.433155059814453
7,1753022139.882449,22400,-2.337334394454956,14.794495582580566,1.9812500476837158,21.312454223632812,2.3681790828704834,13.8110990524292
8,1753022146.632863,25600,-2.337334394454956,14.794495582580566,2.3982982635498047,14.658207893371582,2.3681790828704834,13.8110990524292
9,1753022198.717932,28800,-2.672675848007202,14.480737686157227,2.3982982635498047,14.658207893371582,2.3681790828704834,13.8110990524292
10,1753022201.1632488,32000,-2.672675848007202,14.480737686157227,2.3982982635498047,14.658207893371582,2.6964240074157715,13.86184310913086
11,1753022210.599614,35200,-2.672675848007202,14.480737686157227,2.7205450534820557,13.817943572998047,2.6964240074157715,13.86184310913086
12,1753022264.5975559,38400,-2.8911232948303223,2.721827507019043,2.7205450534820557,13.817943572998047,2.6964240074157715,13.86184310913086
13,1753022266.776575,41600,-2.8911232948303223,2.721827507019043,2.7205450534820557,13.817943572998047,2.9020869731903076,2.4334888458251953
14,1753022279.732608,44800,-2.8911232948303223,2.721827507019043,2.927769184112549,2.545259475708008,2.9020869731903076,2.4334888458251953
15,1753022327.695989,48000,-3.040724754333496,19.598432540893555,2.927769184112549,2.545259475708008,2.9020869731903076,2.4334888458251953
16,1753022330.532937,51200,-3.040724754333496,19.598432540893555,2.927769184112549,2.545259475708008,3.0507936477661133,18.78357696533203
17,1753022345.0421839,54400,-3.040724754333496,19.598432540893555,3.069819211959839,19.928199768066406,3.0507936477661133,18.78357696533203
18,1753022388.639303,57600,-3.1270391941070557,3.9115123748779297,3.069819211959839,19.928199768066406,3.0507936477661133,18.78357696533203
19,1753022390.828869,60800,-3.1270391941070557,3.9115123748779297,3.069819211959839,19.928199768066406,3.137916088104248,3.6308863162994385
20,1753022408.2735949,64000,-3.1270391941070557,3.9115123748779297,3.152338743209839,3.4326746463775635,3.137916088104248,3.6308863162994385
21,1753022449.851857,67200,-3.183342695236206,4.603961944580078,3.152338743209839,3.4326746463775635,3.137916088104248,3.6308863162994385
# _tick,_time,frames,mean_episode_return_landlord,loss_landlord,mean_episode_return_landlord_up,loss_landlord_up,mean_episode_return_landlord_down,loss_landlord_down
0,1753022524.9313989,0,-0.9346733689308167,53.09856033325195,0,0,0,0
1,1753022526.0929239,3200,-0.9346733689308167,53.09856033325195,0,0,0.9215686321258545,51.676727294921875
2,1753022527.226641,6400,-0.9346733689308167,53.09856033325195,0.9278846383094788,52.311988830566406,0.9215686321258545,51.676727294921875
3,1753022580.6078122,9600,-1.864050269126892,32.02699279785156,0.9278846383094788,52.311988830566406,0.9215686321258545,51.676727294921875
